MOF,LCD (Å),LCD/PLD,PLD (Å),density (g/cm3),Pore Volume (cm3/g),Porosity,Surface Area (m2/g),%C,%H,%O,%N,%Halojen,%Metalloids,%Ametal,%Metal,Ot-M,MP,TDU,DU,Qst_N2 (kl/mol),U_N2 (mol/kg),D_N2 (cm2/s)
ADOBAX_charged,5.54673,1.47285950992576,3.76596,1.63796,0.285476,0.46759826896,289.129,29.1970802919708,23.3576642335766,27.7372262773723,5.83941605839416,0.72992700729927,0,0,13.1386861313869,4.22222222222222,45,49,0.6125,14.3975499154,0.1742465094,3.91577722276494E-05
ADOBEB_charged,5.50949,1.4616241712938,3.76943,1.63796,0.285232,0.46719860672,289.33,29.1970802919708,23.3576642335766,27.7372262773723,5.83941605839416,0.72992700729927,0,0,13.1386861313869,4.22222222222222,45,49,0.6125,14.3847461384,0.173813049,7.24524330314164E-05
ADOBOL_charged,5.48974,1.42481475233263,3.85295,1.71617,0.264542,0.45399904414,265.831,29.1970802919708,23.3576642335766,27.7372262773723,5.83941605839416,0.72992700729927,0,0,13.1386861313869,4.22222222222222,45,49,0.6125,14.7381541099,0.1610472264,7.90065635156185E-05
ADOBUR_charged,5.46006,1.41150649518516,3.86825,1.70055,0.268148,0.4559990814,263.145,29.1970802919708,23.3576642335766,27.7372262773723,5.83941605839416,0.72992700729927,0,0,13.1386861313869,4.22222222222222,45,49,0.6125,14.8490693288,0.1720435819,5.22622696336448E-05
ADOCEC_clean,5.40135,1.40925124844108,3.83278,1.53544,0.319388,0.49040111072,613.56,32.258064516129,25.8064516129032,20.9677419354839,6.45161290322581,0,0,0,14.5161290322581,2.88888888888889,45,49,0.6125,17.2993734378,0.5067836521,5.54904772959893E-05
ADODAA_charged,10.017,2.04157749923571,4.9065,1.03876,0.660015,0.6855971814,1977.46,35.2941176470588,17.6470588235294,20.5882352941176,17.6470588235294,0,0,0,8.82352941176471,4.66666666666667,25,73,0.760416666666667,8.5281010464,0.1757879502,0.000215327283274343
ADODII_clean,5.97541,1.12665994173824,5.30365,1.21661,0.443361,0.53939742621,897.412,46.0176991150442,35.3982300884956,16.8141592920354,0,0,0,0,1.76991150442478,19,3.84615384615385,33,0.634615384615385,14.1144746741,0.4626028391,0.000486110254912418
ADODOO_clean,5.9443,1.11875648136472,5.31331,1.28796,0.408086,0.52559844456,818.961,46.0176991150442,35.3982300884956,16.8141592920354,0,0,0,0,1.76991150442478,19,3.84615384615385,33,0.634615384615385,14.4790351556,0.4908588532,0.000326133002489396
ADODUU_clean,5.93338,1.12141841934167,5.29096,1.31573,0.395977,0.52099881821,798.439,46.0176991150442,35.3982300884956,16.8141592920354,0,0,0,0,1.76991150442478,19,3.84615384615385,33,0.634615384615385,14.6493645876,0.5089067746,0.000282852866362326
ADOGEH_clean,12.71447,2.51643120940193,5.05258,1.01991,0.663783,0.67699891953,1958.14,31.5789473684211,31.5789473684211,21.0526315789474,10.5263157894737,0,0,0,5.26315789473684,8,16.6666666666667,145,0.503472222222222,16.7692471276,0.6317158911,4.42094242124759E-05
ADUROI_clean,25.68553,1.49995153069567,17.12424,0.402567,2.07617,0.83579752839,3194.1,47.7272727272727,29.5454545454545,13.6363636363636,6.81818181818182,0,0,0,2.27272727272727,12,4.76190476190476,697,0.691468253968254,4.9431902952,0.2398935336,0.00108976470573354
