MOF,LCD (Å),LCD/PLD,PLD (Å),density (g/cm3),Pore Volume (cm3/g),Porosity,Surface Area (m2/g),%C,%H,%O,%N,%Halojen,%Metalloids,%Ametal,%Metal,O-to-M,MP,TDU,DU,U_H2 (mol/kg),D_H2 (cm2/s)
ATIXUX_clean,4.75983,1.16465821199005,4.08689,1.55048,0.324673,0.50339899304,602.248,50.7462686567164,17.910447761194,26.865671641791,0,0,0,0,4.47761194029851,12,8.82352941176471,113,0.830882352941177,0.0297577279,0.000589757866851173
ATOWIQ_clean,9.54888,1.24093136649716,7.69493,0.866747,0.785928,0.681200736216,2055.19,40.8163265306122,32.6530612244898,16.3265306122449,6.12244897959184,0,0,0,4.08163265306122,8,10,25,0.625,0.0568061203,0.00123092202953854
ATOWOW_clean,9.60606,1.24121810725112,7.73922,0.865497,0.787524,0.681599659428,2052.45,40.8163265306122,32.6530612244898,16.3265306122449,6.12244897959184,0,0,0,4.08163265306122,8,10,25,0.625,0.0557658186,0.00216395031095388
ATUXIY_clean,5.42434,1.43227486124387,3.78722,1.56042,0.342345,0.5342019849,974.637,47.887323943662,19.7183098591549,28.169014084507,0,0,0,0,4.22535211267606,13.3333333333333,8.82352941176471,109,0.801470588235294,0.0324671852,0.000891678426412014
AVAGUB_clean,4.77305,1.11880071820019,4.26622,1.33788,0.361768,0.48400217184,841.477,47.2222222222222,33.3333333333333,0,16.6666666666667,0,0,0,2.77777777777778,0,5.88235294117647,89,0.654411764705882,0.0219348824,0.000195338248798724
AVAKAL_clean,26.25291,2.087686638378,12.57512,0.207415,4.40181,0.91300142115,6072.13,54.5454545454545,33.5664335664336,8.39160839160839,1.3986013986014,0,0,0,2.0979020979021,8,3.84615384615385,217,0.69551282051282,0.2157178124,0.00516560805933924
AVAKEP_clean,25.17564,2.01506840653162,12.49369,0.244994,3.63356,0.89020039864,5799.87,51.8918918918919,38.9189189189189,6.48648648648649,1.08108108108108,0,0,0,1.62162162162162,8,3.125,241,0.627604166666667,0.1902830347,0.0049548848180456
AVEHAM_clean,4.51878,1.15476494699936,3.91316,1.20992,0.388785,0.4703987472,434.955,50,36.2068965517241,8.62068965517241,3.44827586206897,0,0,0,1.72413793103448,10,3.44827586206897,75,0.646551724137931,0.0245863834,0.000117113484339308
AVELOD_clean,8.08398,1.62282968075304,4.98141,0.915242,0.659498,0.603600268516,1842.51,41.6666666666667,41.6666666666667,5.55555555555556,8.33333333333333,0,0,0,2.77777777777778,4,6.66666666666667,61,0.508333333333333,0.0463264468,0.000613804376538054
AVELUJ_clean,8.10638,1.65799393365472,4.88927,0.902679,0.670227,0.604999838133,1879.38,41.6666666666667,41.6666666666667,5.55555555555556,8.33333333333333,0,0,0,2.77777777777778,4,6.66666666666667,61,0.508333333333333,0.0477526278,0.00073537978536648
AVEQID_clean,7.54994,1.21235098401932,6.22752,0.801255,0.876126,0.70200033813,2819.83,51.1627906976744,23.2558139534884,18.6046511627907,2.32558139534884,0,0,0,4.65116279069767,8,9.09090909090909,69,0.784090909090909,0.0710367038,0.00165030991752542
AVESOL_clean,5.87217,1.37126223930542,4.28231,0.954537,0.693111,0.661600094607,2500.02,52.2727272727273,20.4545454545455,22.7272727272727,0,0,0,0,4.54545454545455,10,8.69565217391304,75,0.815217391304348,0.0688339415,0.00221097904126686
AVESUR_clean,6.33732,1.56075479876466,4.06042,1.18458,0.525251,0.62220182958,1932.12,52.2727272727273,20.4545454545455,22.7272727272727,0,0,0,0,4.54545454545455,10,8.69565217391304,149,0.809782608695652,0.0484059409,0.00178783107805672
AVIPAX_clean,7.26399,1.38340370342861,5.25081,0.96381,0.610286,0.58819974966,1925.33,43.75,18.75,25,6.25,0,0,0,6.25,8,14.2857142857143,67,0.797619047619048,0.0537590212,0.000576311575299825
AVITUU_clean,11.69294,1.68662606703843,6.93274,0.710904,0.983817,0.699399440568,2507.52,52.1739130434783,34.7826086956522,0,8.69565217391304,0,0,2.17391304347826,2.17391304347826,0,4.16666666666667,257,0.669270833333333,0.0728822551,0.000819373664424286
AVIVAC_clean,11.84006,1.60040821016065,7.39815,0.73653,0.968053,0.71300007609,2337.87,52.1739130434783,34.7826086956522,0,8.69565217391304,0,0,2.17391304347826,2.17391304347826,0,4.16666666666667,257,0.669270833333333,0.0677533228,0.00126433583398412
